WGS_ID_VCF_ID,RNASeq_VCF_ID,Expression_ID,Hospital_ID,WGS_Orginal
WHB13288,RHL6541,ENABL155,NEMB005,WHB13288
WHB13289,RHL6445,ENABL276,NEMC058,WHB13289
WHB13290,RHL7352,ENABL205,NEMD004,WHB13290
WHB13291,RHL6408,ENABL298,NEMD015,WHB13291
WHB13292,RHL6383,ENABL247,NEMB076,WHB13292
WHB13293,RHL6454,ENABL222,NEMB047,WHB13293
WHB13294,RHL6396,ENABL227,NEMB052,WHB13294
WHB13295,RHL6470,ENABL233,NEMB059,WHB13295
WHB13296,RHL6544,ENABL234,NEMB060,WHB13296
WHB13297,RHL6394,ENABL294,NEMC077,WHB13297
WHB13298,RHL6404,ENABL202,NEMC028,WHB13298
WHB13299,RHL6390,ENABL191,NEMC015,WHB13299
WHB13300,RHL6402,ENABL182,NEMC004,WHB13300
WHB13301,RHL6532,ENABL179,NEMC001,WHB13301
WHB13302,RHL6441,ENABL242,NEMB070,WHB13302
WHB13303,RHL6391,ENABL197,NEMC021,WHB13303
WHB13304,RHL6435,ENABL255,NEMC033,WHB13304
WHB13305,RHL6436,ENABL266,NEMC047,WHB13305
WHB13306,RHL6418,ENABL190,NEMC014,WHB13306
WHB13307,RHL6487,ENABL180,NEMC002,WHB13307
WHB13308,RHL6476,ENABL162,NEMB013,WHB13308
WHB13309,RHL6529,ENABL231,NEMB057,WHB13309
WHB13310,RHL6503,ENABL211,NEMD011,WHB13310
WHB13311,RHL6477,ENABL215,NEMB036,WHB13311
WHB13312,RHL6388,ENABL157,NEMB007,WHB13312
WHB13313,RHL6440,ENABL230,NEMB056,WHB13313
WHB13314,RHL6496,ENABL292,NEMC075,WHB13314
WHB13315,RHL6488,ENABL181,NEMC003,WHB13315
WHB13316,RHL6494,ENABL280,NEMC062,WHB13316
WHB13317,RHL6491,ENABL198,NEMC022,WHB13317
WHB13318,RHL6515,ENABL237,NEMB063,WHB13318
WHB13319,RHL6518,ENABL297,NEMD014,WHB13319
WHB13320,RHL6459,ENABL152,NEMD003,WHB13320
WHB13321,RHL6500,ENABL246,NEMB075,WHB13321
WHB13322,RHL6398,ENABL248,NEMB078,WHB13322
WHB13323,RHL6425,ENABL229,NEMB054,WHB13323
WHB13324,RHL6455,ENABL238,NEMB066,WHB13324
WHB13325,RHL6443,ENABL193,NEMC017,WHB13325
WHB13326,RHL6406,ENABL275,NEMC057,WHB13326
WHB13327,RHL6428,ENABL274,NEMC056,WHB13327
WHB13328,RHL6530,ENABL240,NEMB068,WHB13328
WHB13329,RHL6508,ENABL261,NEMC041,WHB13329
WHB13330,RHL6461,ENABL195,NEMC019,WHB13330
WHB13331,RHL6449,ENABL269,NEMC051,WHB13331
WHB13332,RHL6473,ENABL293,NEMC076,WHB13332
WHB13333,RHL6528,ENABL217,NEMB039,WHB13333
WHB13334,RHL6411,ENABL232,NEMB058,WHB13334
WHB13335,RHL5339,ENABL151,NEMD002,WHB13335
WHB13336,RHL6499,ENABL228,NEMB053,WHB13336
WHB13337,RHL7486,ENABL295,NEMD012,WHB13337
WHB13338,RHL6409,ENABL159,NEMB010,WHB13338
WHB13339,RHL6484,ENABL224,NEMB049,WHB13339
WHB13340,RHL6534,ENABL244,NEMB073,WHB13340
WHB13341,RHL6456,ENABL245,NEMB074,WHB13341
WHB13342,RHL6522,ENABL189,NEMC013,WHB13342
WHB13343,RHL6517,ENABL285,NEMC068,WHB13343
WHB13344,RHL6463,ENABL256,NEMC034,WHB13344
WHB13345,RHL6492,ENABL260,NEMC039,WHB13345
WHB13346,RHL6483,ENABL161,NEMB012,WHB13346
